letter,weight_I,relative_weight_I,weight_II,relative_weight_II,weight_III,relative_weight_III,weight_IV,relative_weight_IV,weight,relative_weight,center_y,center_x,relative_center_y,relative_center_x,inertia_y,inertia_x,relative_inertia_y,relative_inertia_x
𐎀,50,0.44642857142857145,37,0.33035714285714285,68,0.6071428571428571,37,0.33035714285714285,192,0.42572062084257206,4.8125,16.473958333333332,0.38125,0.3868489583333333,20483.869791666657,793.25,0.555660530372902,0.021518283420138888
𐎁,120,0.36585365853658536,88,0.2682926829268293,140,0.4268292682926829,91,0.2774390243902439,439,0.33460365853658536,15.931662870159453,15.735763097949887,0.48166654419869204,0.3683940774487472,32911.3485193622,43795.949886104725,0.17077198914162026,0.22725053256315983
𐎂,61,0.5041322314049587,82,0.6776859504132231,9,0.0743801652892562,44,0.36363636363636365,196,0.4049586776859504,15.045918367346939,5.030612244897959,0.32664926435690556,0.4030612244897959,747.8163265306132,26896.586734693876,0.019466272556502844,0.7001402211238514
𐎃,74,0.6727272727272727,68,0.6181818181818182,54,0.4909090909090909,48,0.43636363636363634,244,0.5545454545454546,18.954918032786885,4.372950819672131,0.41755623332062525,0.37477231329690347,1111.0614754098358,36352.504098360645,0.018662010807071954,0.610597018583053
𐎄,210,0.4772727272727273,106,0.2409090909090909,206,0.4681818181818182,146,0.33181818181818185,668,0.3795454545454545,15.94311377245509,21.755988023952096,0.4820359281437126,0.3843701485917055,107545.22604790423,65629.83832335303,0.2410117475705122,0.1470782349747056
𐎅,220,0.5263157894736842,86,0.20574162679425836,202,0.48325358851674644,76,0.18181818181818182,584,0.3492822966507177,18.381849315068493,15.422945205479452,0.4697797112180674,0.3354173303599873,78876.53253424652,73649.84760274026,0.23127149950227097,0.21594649442537373
𐎆,133,0.40672782874617736,63,0.1926605504587156,136,0.41590214067278286,81,0.24770642201834864,413,0.3150266971777269,10.750605326876514,20.692493946731236,0.4432093330398415,0.35165167762020066,108089.9467312348,11017.312348668247,0.6337021776010576,0.06459152805414962
𐎇,71,0.5867768595041323,83,0.6859504132231405,33,0.2727272727272727,48,0.39669421487603307,235,0.4855371900826446,16.697872340425533,4.787234042553192,0.36506679861454727,0.3787234042553192,995.3617021276602,30131.548936170235,0.018023751962474608,0.545614285851883
𐎈,233,0.4052173913043478,184,0.32,98,0.17043478260869566,135,0.23478260869565218,650,0.2822405557967868,20.96,23.7,0.41583333333333333,0.4934782608695652,84182.4999999998,82234.95999999999,0.1992485207100587,0.19463895857988164
𐎉,183,0.3539651837524178,167,0.3230174081237911,117,0.2263056092843327,114,0.2205029013539652,581,0.2809477756286267,19.03958691910499,23.974182444061963,0.41952527718848814,0.4994387487839557,83128.612736661,54956.08950086059,0.24626249103617123,0.16280343256733032
𐎊,142,0.5378787878787878,142,0.5378787878787878,102,0.38636363636363635,102,0.38636363636363635,488,0.4621212121212121,18.901639344262296,11.139344262295081,0.41631719405261153,0.44084105488239483,24566.524590163943,72517.2786885245,0.1031582764636688,0.30451020680144997
𐎋,138,0.42201834862385323,59,0.18042813455657492,140,0.42813455657492355,75,0.22935779816513763,412,0.3142639206712433,10.716019417475728,19.691747572815533,0.4416372462488967,0.3337812066574202,95207.85194174762,11037.77427184464,0.5608908234856468,0.06502600546614101
𐎌,120,0.23210831721470018,253,0.48936170212765956,112,0.21663442940038685,72,0.13926499032882012,557,0.26934235976789167,17.330341113105924,22.81867145421903,0.37977537472339357,0.4743189446569354,82662.6858168761,61453.21723518851,0.2664398138813537,0.19807708400410157
𐎍,207,0.4825174825174825,227,0.5291375291375291,63,0.14685314685314685,98,0.22843822843822845,595,0.34673659673659674,15.07563025210084,19.043697478991596,0.3273402384209498,0.4748341441839894,79304.86386554607,81559.59663865538,0.2240092193080886,0.23037807114936903
𐎎,129,0.35342465753424657,173,0.473972602739726,0,0.0,55,0.1506849315068493,357,0.2441860465116279,11.330532212885155,19.868347338935575,0.24596505268774177,0.5717681011798659,37038.81232493002,31702.997198879515,0.2906167355171874,0.24875045860602685
𐎏,111,0.2803030303030303,143,0.3611111111111111,102,0.25757575757575757,70,0.17676767676767677,426,0.2689393939393939,19.41549295774648,17.377934272300468,0.42826727808712745,0.4679409792085848,35240.152582159644,41411.45774647884,0.19418629781436467,0.22819247584517421
𐎐,64,0.423841059602649,56,0.3708609271523179,89,0.5894039735099338,72,0.4768211920529801,281,0.4644628099173554,4.879003558718861,22.708185053380785,0.38790035587188615,0.40200342691445895,57844.071174377284,1205.8861209964487,0.732565078638534,0.015271920581001363
𐎑,165,0.2459016393442623,152,0.22652757078986588,163,0.2429210134128167,145,0.21609538002980627,625,0.23286140089418778,20.7408,28.4448,0.4590883720930233,0.45741333333333334,230762.34559999994,40832.00959999998,0.5907516047359999,0.10452994457599996
𐎒,108,0.4675324675324675,111,0.4805194805194805,33,0.14285714285714285,55,0.23809523809523808,307,0.33225108225108224,14.182410423452769,9.973941368078176,0.30656768426634345,0.44869706840390877,7337.791530944607,38727.785016286616,0.07785537810421975,0.4109092405891481
𐎓,63,0.2727272727272727,56,0.24242424242424243,50,0.21645021645021645,60,0.2597402597402597,229,0.24783549783549783,21.2882096069869,9.903930131004367,0.4718188280694628,0.44519650655021836,5063.886462882099,22808.978165938865,0.09656349922545526,0.43494552289122757
𐎔,141,0.5573122529644269,54,0.2134387351778656,139,0.549407114624506,54,0.2134387351778656,388,0.383399209486166,11.438144329896907,15.443298969072165,0.4744611059044049,0.33589067369935266,52463.752577319494,17835.515463917556,0.3484944772114431,0.11847377154796974
𐎕,143,0.5335820895522388,141,0.5261194029850746,55,0.20522388059701493,54,0.20149253731343283,393,0.3655813953488372,14.414758269720101,11.954198473282442,0.31939900642190716,0.45642493638676845,20595.17557251916,52705.394402035585,0.13334612443278468,0.34124788378063686
𐎖,92,0.17424242424242425,124,0.23484848484848486,61,0.11553030303030302,110,0.20833333333333334,387,0.18323863636363635,21.064599483204134,25.901808785529717,0.46661859263265426,0.5298257188410578,78860.26873385001,23573.385012919865,0.5265460057411748,0.15739829345805784
𐎗,183,0.5,73,0.1994535519125683,183,0.5,86,0.23497267759562843,525,0.35860655737704916,11.765714285714285,22.899047619047618,0.46807453416149064,0.36498412698412697,127199.64952380939,20516.182857142805,0.4614953270705103,0.07443513054745689
𐎘,72,0.2975206611570248,137,0.5661157024793388,44,0.18181818181818182,83,0.34297520661157027,336,0.34710743801652894,17.979166666666668,11.702380952380953,0.39486434108527135,0.5096371882086168,5706.238095238103,38644.854166666606,0.0505442008152468,0.34230490156131843
𐎙,140,0.4713804713804714,110,0.37037037037037035,93,0.31313131313131315,28,0.09427609427609428,371,0.3122895622895623,10.773584905660377,18.576819407008085,0.3759071117561683,0.40876324202344383,40122.560646900274,11986.981132075463,0.291501519510177,0.08708873905359205
𐎚,60,0.5454545454545454,10,0.09090909090909091,79,0.7181818181818181,44,0.4,193,0.43863636363636366,4.984455958549223,15.44041450777202,0.44271732872769143,0.33582359320400046,26215.56476683937,682.9533678756461,0.7037924445445346,0.01833481081037467
𐎛,278,0.45950413223140496,108,0.17851239669421487,225,0.371900826446281,54,0.08925619834710743,665,0.27479338842975204,21.499248120300752,14.637593984962406,0.3796157059314954,0.3171533484874978,82217.66015037596,121494.24962405846,0.1859181641706732,0.27473401463973873
𐎜,147,0.41761363636363635,166,0.4715909090909091,169,0.48011363636363635,101,0.2869318181818182,583,0.4140625,14.987993138936535,19.876500857632934,0.45122558512698496,0.4389883920379752,79773.10806174949,58218.91595197233,0.23470341217794483,0.17128802624378056
𐎝,125,0.35511363636363635,148,0.42045454545454547,75,0.21306818181818182,110,0.3125,458,0.3252840909090909,18.851528384279476,15.962882096069869,0.41515182289022035,0.48267361600225384,37576.368995633224,73097.90393013091,0.17913640565413141,0.34847687844497105
𐎞,78,0.3842364532019704,78,0.3842364532019704,81,0.39901477832512317,81,0.39901477832512317,318,0.3906633906633907,18.0,10.5,0.4722222222222222,0.4523809523809524,22223.5,53116.0,0.21976484316284958,0.5252561211977375
𐎟,31,0.775,28,0.7,12,0.3,10,0.25,81,0.50625,5.172839506172839,4.37037037037037,0.2781893004115226,0.3744855967078189,372.8888888888887,1275.5802469135804,0.05683415468509201,0.19441857139362603
